intnr;az;S1;S3;S2_j;zpalter;Stib;Bula;m1202;F209;F209_01
260;80;1;8;1976;41;4;11;4;1;NA
361;30;2;5;1966;51;2;11;2;1;NA
491;40;1;7;1968;49;1;11;4;2;1
690;40;2;8;1954;63;3;11;4;1;NA
919;39;2;7;1976;41;2;11;2;1;NA
1041;40;1;5;1960;57;2;11;2;2;2
1077;12;1;8;1955;62;5;11;4;1;NA
1306;30;2;5;1958;59;1;11;2;1;NA
1357;42;2;7;1985;32;2;11;4;1;NA
1488;48;2;8;1955;62;2;11;4;2;1
1562;43;2;8;1986;31;2;11;4;1;NA
1955;39;2;6;1958;58;2;11;2;1;NA
2495;40;1;2;1992;24;2;1;2;1;NA
2781;30;2;5;1964;53;2;1;4;1;NA
3101;45;1;5;1988;29;2;1;2;2;1
3609;45;1;7;1971;46;2;1;2;1;NA
3945;20;2;7;1967;49;2;1;4;1;NA
4065;20;2;8;1959;58;2;1;4;1;NA
4895;50;1;7;1965;51;2;1;4;2;2
4904;30;1;8;1939;78;5;1;4;1;NA
5272;35;1;8;1958;59;2;2;4;1;NA
5461;27;2;8;1980;37;2;2;3;1;NA
5571;35;2;2;1979;38;2;2;1;1;NA
5707;45;1;8;1960;57;2;2;4;2;1
5716;40;1;7;1974;43;2;2;3;1;NA
5759;41;1;7;1987;29;2;2;4;1;NA
5774;55;1;7;1959;58;2;2;2;1;NA
5785;26;2;5;1983;34;2;2;1;1;NA
5998;40;1;6;1969;48;2;2;2;1;NA
6104;40;2;8;1989;28;2;2;4;1;NA
6222;30;2;7;1960;57;4;2;2;1;NA
6300;30;1;8;1978;39;5;2;4;1;NA
6632;41;2;8;1954;63;2;2;2;1;NA
7045;55;1;5;1972;45;4;3;4;1;NA
7119;39;1;7;1981;36;2;3;2;1;NA
7261;25;2;5;1970;47;2;3;2;1;NA
7413;44;1;8;1955;62;2;3;4;1;NA
7421;37;1;8;1967;50;4;3;2;1;NA
7437;45;2;8;9999;9999;2;3;4;1;NA
7624;40;1;8;1976;41;2;3;4;1;NA
8039;36;1;2;1954;63;2;3;2;1;NA
8062;35;2;5;1979;38;2;3;2;1;NA
8411;20;2;5;1959;58;2;3;2;1;NA
8795;40;2;8;1953;64;2;3;2;1;NA
10073;40;2;2;1961;56;2;3;2;1;NA
10091;45;1;5;1967;50;2;3;2;1;NA
11337;42;1;8;1961;56;3;3;4;1;NA
11431;40;2;5;1955;62;2;3;2;2;2
11655;40;1;5;1983;34;2;3;1;2;1
11760;30;2;5;1958;59;2;3;2;2;1
12128;40;2;8;1959;58;3;3;4;1;NA
12210;39;1;8;1955;62;2;3;4;1;NA
12590;40;2;8;1955;62;2;3;2;1;NA
12696;45;2;8;1963;54;2;3;4;1;NA
12881;20;2;8;1959;58;2;3;1;1;NA
12965;38;1;8;1967;50;2;3;3;1;NA
13210;30;2;5;1953;64;2;3;1;2;1
13321;39;2;5;1979;38;2;3;2;1;NA
13345;40;1;2;1960;56;1;3;2;2;1
13415;15;1;5;1956;61;2;3;2;1;NA
13453;32;2;2;1970;47;2;3;2;2;1
13619;10;2;8;1963;54;2;3;1;2;2
13724;38;1;5;1969;48;2;3;2;1;NA
14088;40;1;7;1965;52;2;3;4;1;NA
14306;40;1;2;1972;45;1;3;2;1;NA
14721;50;1;7;1965;52;4;4;3;1;NA
15094;40;1;5;1969;48;1;4;2;1;NA
15443;45;2;8;1957;60;2;5;4;1;NA
15527;45;1;7;1961;56;2;5;3;1;NA
15722;25;2;7;1961;56;2;5;2;1;NA
16014;40;2;8;1965;52;2;5;4;1;NA
16133;55;2;8;1963;54;2;5;4;1;NA
16271;30;1;7;1966;50;4;5;4;2;2
16551;60;1;10;1960;57;2;5;2;2;2
16913;38;2;8;1953;64;2;5;4;1;NA
17259;45;2;7;1961;56;2;5;2;2;1
17662;30;2;2;1960;57;2;5;2;1;NA
18256;51;1;8;1962;55;2;5;1;2;2
18729;40;2;2;1959;58;2;5;-1;1;NA
18757;50;1;8;1965;52;2;5;4;1;NA
18771;40;1;5;1960;57;1;5;2;1;NA
18868;20;1;1;1960;57;1;5;2;2;2
18948;38;1;8;1985;32;2;5;2;1;NA
19205;23;2;8;1975;42;2;5;4;1;NA
19233;40;1;5;1979;38;1;5;2;2;2
19242;38;2;6;1961;56;1;5;2;2;2
19925;40;2;8;1956;61;2;5;4;1;NA
20380;15;2;4;1960;57;1;5;1;1;NA
20448;39;2;5;1955;62;2;5;2;1;NA
21365;20;2;8;1968;49;5;5;4;1;NA
21605;30;2;8;1964;53;4;5;4;1;NA
21701;30;2;8;1961;55;2;5;1;1;NA
22763;35;2;5;1960;57;2;5;2;1;NA
22908;38;1;8;1964;53;2;5;3;1;NA
23030;40;2;7;1972;45;4;5;4;1;NA
23163;30;1;8;1947;70;4;5;2;1;NA
23293;38;1;5;1960;57;2;5;2;1;NA
24458;38;2;5;1974;43;2;5;2;1;NA
24509;45;1;5;1977;40;2;5;2;1;NA
24572;40;1;2;1958;58;1;5;2;1;NA
24658;45;1;2;1968;49;2;5;1;1;NA
24922;30;1;8;1956;61;5;5;4;1;NA
25017;38;2;8;1968;49;2;5;3;1;NA
25671;35;2;5;1965;52;2;5;2;2;1
25727;60;1;5;1951;66;4;5;4;1;NA
25758;39;2;5;1956;61;2;5;2;1;NA
25818;20;2;8;1973;43;2;5;4;1;NA
26356;30;2;8;1954;63;2;5;2;2;1
26493;40;1;8;1959;57;5;5;4;1;NA
26743;41;1;8;1961;56;3;5;2;1;NA
27073;50;2;8;1954;63;3;5;4;2;2
27370;40;2;8;1963;54;4;5;4;1;NA
27699;40;1;2;1990;27;2;5;2;1;NA
27924;15;2;2;1962;55;2;5;1;1;NA
27943;30;2;8;1963;54;2;5;2;1;NA
28075;26;2;5;1956;61;2;5;2;1;NA
28114;43;2;8;1958;59;2;5;4;1;NA
28355;42;1;2;1970;47;4;5;3;1;NA
28480;40;1;2;1963;54;1;5;1;1;NA
28990;32;1;2;1982;35;2;5;2;1;NA
29696;12;2;2;1952;64;2;5;2;1;NA
29819;35;2;8;1967;50;2;5;4;1;NA
30252;40;1;8;1963;54;2;5;4;1;NA
30559;60;1;8;1986;31;2;5;4;1;NA
30699;48;1;1;1979;37;2;5;1;2;1
30786;48;1;5;1975;42;2;5;2;2;1
31079;40;2;5;1959;58;1;5;2;2;1
31372;35;2;5;1968;49;1;5;1;2;1
31670;45;2;5;1965;52;2;5;2;1;NA
32240;20;2;1;1955;62;2;5;2;1;NA
32324;10;2;8;1990;27;3;5;4;1;NA
32430;40;1;2;1961;56;1;5;3;2;1
32581;45;2;8;1957;60;2;6;4;1;NA
32617;45;2;7;1967;50;2;6;4;1;NA
32807;40;1;5;1963;54;4;6;3;1;NA
33175;40;2;8;1968;48;2;6;2;1;NA
33272;20;2;8;1972;45;5;6;4;1;NA
33380;39;2;5;1967;50;2;6;2;1;NA
33607;40;2;7;1970;47;2;6;4;1;NA
33682;23;2;5;1965;52;2;6;2;1;NA
34125;43;1;2;1964;53;2;6;2;1;NA
34201;40;1;8;1970;47;2;6;4;1;NA
34975;40;1;7;1987;29;2;6;1;1;NA
35059;23;2;7;1975;42;2;6;2;1;NA
35306;40;1;8;1973;44;2;6;2;1;NA
36484;40;2;5;1957;60;2;6;2;2;1
